PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM2-60 PROBLEM2-80 PROBLEM2-100 PROBLEM3-20 PROBLEM3-60 PROBLEM3-40 PROBLEM3-80 PROBLEM3-100 START END 
0 220 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 162 0 0 0 0 0 0 0 0 0 0 0 58
0 0 0 182 0 0 0 0 0 0 0 0 0 0 40
0 0 0 0 182 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 122
0 0 0 0 0 0 38 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 44 0 0 0 0 0 0 16
0 0 0 0 0 0 0 0 0 0 0 0 0 0 22
0 0 0 0 0 0 0 0 0 0 41 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 85 0 0 0
0 0 0 0 0 0 0 0 0 104 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 54 0 31
0 0 0 0 0 0 0 0 0 0 0 0 0 0 21
223 0 0 0 0 0 0 0 52 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
