PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM2-20 PROBLEM2-60 PROBLEM2-40 PROBLEM2-80 PROBLEM2-100 PROBLEM3-20 PROBLEM3-60 PROBLEM3-40 PROBLEM3-80 PROBLEM3-100 PROBLEM5-60 PROBLEM5-80 PROBLEM5-100 START END 
0 220 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58
0 0 0 182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40
0 0 0 0 182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 122
0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 72 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 16
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22
0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 93 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 112 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 0 0 0 0 31
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11
223 0 0 0 0 38 0 0 0 0 56 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
