PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM3-20 PROBLEM3-40 PROBLEM3-60 PROBLEM5-20 PROBLEM5-40 PROBLEM5-60 PROBLEM5-80 PROBLEM5-100 START END 
0 395 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 311 0 0 0 0 0 0 0 0 0 0 0 116
0 0 0 151 0 0 0 0 0 0 0 0 0 0 134
0 0 0 0 167 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 145
0 0 0 0 0 0 14 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 19 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 40 14 0 0 0 1
0 0 0 0 0 0 0 0 0 0 98 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 41 0 0 13
0 0 0 0 0 0 0 0 0 0 0 0 30 0 24
0 0 0 0 0 0 0 0 0 0 0 0 0 0 17
400 0 0 0 0 19 0 0 55 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
