PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM3-20 PROBLEM3-40 PROBLEM3-60 PROBLEM3-100 PROBLEM5-20 PROBLEM5-40 PROBLEM5-60 PROBLEM5-80 PROBLEM5-100 START END 
0 422 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 311 0 0 0 0 0 0 0 0 0 0 0 0 116
0 0 0 167 0 0 0 0 0 0 0 0 0 0 0 134
0 0 0 0 167 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 145
0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 102 14 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 102 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 59 0 0 13
0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 24
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19
400 0 0 0 0 19 0 0 0 57 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
