PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM3-20 PROBLEM3-40 PROBLEM3-100 PROBLEM4-20 PROBLEM4-100 PROBLEM6-20 PROBLEM6-40 PROBLEM7-20 PROBLEM7-40 PROBLEM7-100 PROBLEM8-40 PROBLEM8-20 PROBLEM8-100 START END 
0 45 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50
0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 75 15 0 0 0 0 19
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 10 0 12
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11
116 0 0 11 0 9 0 0 7 0 13 0 109 6 1 4 49 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
