PROBLEM1-20 PROBLEM1-100 PROBLEM1-40 PROBLEM2-20 PROBLEM2-40 PROBLEM3-20 PROBLEM3-40 PROBLEM4-20 PROBLEM4-40 PROBLEM3-100 PROBLEM5-20 PROBLEM5-40 PROBLEM6-20 PROBLEM6-40 PROBLEM6-100 START END 
0 31 68 0 0 0 0 0 0 0 0 0 0 0 0 0 31
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27
0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65
0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
0 0 0 0 0 0 120 0 0 21 0 0 0 0 0 0 28
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 105
0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 51 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42
0 0 0 0 0 0 0 0 0 0 0 0 0 59 9 0 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
123 0 0 28 0 154 0 20 0 0 54 0 69 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
