PROBLEM1-20 PROBLEM1-100 PROBLEM1-40 PROBLEM2-20 PROBLEM2-40 PROBLEM3-20 PROBLEM3-40 PROBLEM4-20 PROBLEM4-40 PROBLEM3-100 PROBLEM5-20 PROBLEM5-40 PROBLEM6-20 PROBLEM6-40 PROBLEM6-100 PROBLEM8-20 PROBLEM8-40 START END 
0 24 68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27
0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65
0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25
0 0 0 0 0 0 106 0 0 21 0 0 0 0 0 0 0 0 28
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 106
0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42
0 0 0 0 0 0 0 0 0 0 0 0 0 50 9 0 0 0 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25
123 0 0 29 0 155 0 21 0 0 55 0 69 0 0 33 4 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
