PROBLEM3-20 PROBLEM3-100 PROBLEM3-40 PROBLEM4-20 PROBLEM4-100 PROBLEM5-20 PROBLEM5-40 PROBLEM6-20 PROBLEM6-40 PROBLEM6-100 PROBLEM2-20 PROBLEM2-40 PROBLEM2-100 PROBLEM5-100 START END 
0 56 67 0 0 0 0 0 0 0 0 0 0 0 0 22
0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 53
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70
0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 11 0 0 0 0 0 0 7 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 19 9 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
0 0 0 0 0 0 0 0 0 0 0 19 17 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
145 0 0 13 0 22 0 33 0 0 48 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
