PROBLEM1-20 PROBLEM1-100 PROBLEM1-40 PROBLEM2-20 PROBLEM2-40 PROBLEM3-20 PROBLEM3-40 PROBLEM3-100 PROBLEM5-20 PROBLEM5-40 PROBLEM6-20 PROBLEM6-40 START END 
0 15 51 0 0 0 0 0 0 0 0 0 0 23
0 0 0 0 0 0 0 0 0 0 0 0 0 18
0 5 0 0 0 0 0 0 0 0 0 0 0 48
0 0 0 0 36 0 0 0 0 0 0 0 0 14
0 0 0 0 0 0 0 0 0 0 0 0 0 37
0 0 0 0 0 0 19 14 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 19
0 0 0 0 0 0 0 0 0 0 0 0 0 14
0 0 0 0 0 0 0 0 0 25 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 25
0 0 0 0 0 0 0 0 0 0 0 14 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 14
89 0 0 54 0 41 0 0 30 0 16 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
