PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM6-20 PROBLEM6-100 PROBLEM7-20 PROBLEM7-40 PROBLEM8-40 PROBLEM8-20 START END 
0 51 34 0 0 0 0 0 0 0 0 0 23
0 0 4 0 0 0 0 0 0 0 0 0 51
0 0 0 0 0 0 0 0 0 0 0 0 34
0 0 0 0 10 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 10
0 0 0 0 0 0 5 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 29 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 28
0 0 0 0 0 0 0 0 0 0 0 0 91
0 0 0 0 0 0 0 0 0 90 0 0 24
108 0 0 15 0 11 0 38 0 1 115 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0
