PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM3-20 PROBLEM3-40 PROBLEM2-20 PROBLEM2-40 PROBLEM3-100 PROBLEM6-20 PROBLEM6-100 PROBLEM8-20 PROBLEM8-40 PROBLEM8-100 START END 
0 28 14 0 0 0 0 0 0 0 0 0 0 0 14
0 0 5 0 0 0 0 0 0 0 0 0 0 0 23
0 0 0 0 0 0 0 0 0 0 0 0 0 0 19
0 0 0 0 31 0 0 4 0 0 0 0 0 0 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 31
0 0 0 0 0 0 5 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 2 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 6 2 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
56 0 0 45 0 7 0 0 3 0 11 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
