PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM7-20 PROBLEM2-20 PROBLEM2-40 PROBLEM2-100 PROBLEM3-20 PROBLEM3-100 PROBLEM6-20 PROBLEM6-100 PROBLEM6-40 PROBLEM7-100 PROBLEM8-20 PROBLEM8-40 PROBLEM7-40 PROBLEM8-100 PROBLEM9-20 PROBLEM9-40 START END 
0 73 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 3 0 0 0 0 7
0 0 0 0 0 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 2 7 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 71 0 5 0 0 0 16
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
101 0 0 15 9 0 0 4 0 11 0 0 0 77 2 0 0 5 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
