PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM3-20 PROBLEM3-40 PROBLEM3-100 PROBLEM2-100 PROBLEM5-20 PROBLEM5-100 PROBLEM7-20 PROBLEM6-20 PROBLEM6-100 PROBLEM6-40 PROBLEM7-100 PROBLEM8-20 PROBLEM8-40 START END 
0 63 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28
0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 60
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27
0 0 0 0 36 0 0 0 5 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 35
0 0 0 0 0 0 6 4 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 2 7 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
115 0 0 49 0 14 0 0 0 4 0 6 11 0 0 0 13 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
