PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM3-20 PROBLEM3-40 PROBLEM3-100 PROBLEM2-100 PROBLEM6-20 PROBLEM6-40 PROBLEM7-20 PROBLEM7-40 START END 
0 44 35 0 0 0 0 0 0 0 0 0 0 0 19
0 0 4 0 0 0 0 0 0 0 0 0 0 0 44
0 0 0 0 0 0 0 0 0 0 0 0 0 0 35
0 0 0 0 34 0 0 0 8 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 34
0 0 0 0 0 0 5 3 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 6 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 4 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
98 0 0 50 0 10 0 0 0 10 0 7 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
