PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM3-20 PROBLEM3-40 PROBLEM3-100 PROBLEM2-100 PROBLEM4-20 PROBLEM4-40 PROBLEM4-100 PROBLEM6-20 PROBLEM6-40 PROBLEM6-100 PROBLEM7-20 PROBLEM7-40 PROBLEM8-20 PROBLEM8-40 START END 
0 44 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19
0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35
0 0 0 0 35 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35
0 0 0 0 0 0 11 3 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
98 0 0 51 0 16 0 0 0 7 0 0 15 0 0 12 0 8 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
