PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM2-100 PROBLEM3-20 PROBLEM3-100 PROBLEM7-20 PROBLEM7-40 PROBLEM7-100 PROBLEM8-20 PROBLEM8-40 PROBLEM8-100 PROBLEM9-20 PROBLEM9-40 START END 
0 87 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32
0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27
0 0 0 0 19 5 0 0 0 0 0 0 0 0 0 0 0 13
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13
0 0 0 0 0 0 0 0 0 51 13 0 0 0 0 0 0 22
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61
0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 95 12 0 0 0 17
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 108
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
141 0 0 37 1 0 15 1 86 7 2 124 11 0 14 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
