PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM3-20 PROBLEM3-100 PROBLEM7-20 PROBLEM7-40 PROBLEM7-100 PROBLEM8-20 PROBLEM8-40 PROBLEM8-100 PROBLEM9-20 PROBLEM9-40 START END 
0 102 21 0 0 0 0 0 0 0 0 0 0 0 0 0 32
0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 82
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26
0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 13
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20
0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
0 0 0 0 0 0 0 0 57 12 0 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 60
0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 11
0 0 0 0 0 0 0 0 0 0 0 112 11 0 0 0 16
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 106
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
140 0 0 35 1 12 1 84 7 1 122 9 0 6 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
