PROBLEM1-20 PROBLEM1-100 PROBLEM1-40 PROBLEM2-20 PROBLEM2-40 PROBLEM2-100 PROBLEM3-20 PROBLEM3-40 PROBLEM5-20 PROBLEM5-100 PROBLEM6-20 PROBLEM6-40 PROBLEM5-40 START END 
0 3 12 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 11
0 0 0 0 31 4 0 0 0 0 0 0 0 0 7
0 0 0 0 0 2 0 0 0 0 0 0 0 0 24
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 20 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
0 0 0 0 0 0 0 0 0 4 0 0 2 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 4 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
18 0 0 38 0 0 22 0 7 0 6 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
