PROBLEM1-20 PROBLEM1-100 PROBLEM1-40 PROBLEM2-20 PROBLEM2-40 PROBLEM2-100 PROBLEM3-20 PROBLEM3-40 PROBLEM5-20 PROBLEM5-100 PROBLEM6-20 PROBLEM6-40 START END 
0 20 42 0 0 0 0 0 0 0 0 0 0 15
0 0 4 0 0 0 0 0 0 0 0 0 0 16
0 0 0 0 0 0 0 0 0 0 0 0 0 38
0 0 0 0 47 5 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 39
0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 46 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 37
0 0 0 0 0 0 0 0 0 5 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 5 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 5
69 0 0 55 0 0 49 0 8 0 9 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
