PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM2-20 PROBLEM2-100 PROBLEM2-40 PROBLEM3-20 PROBLEM3-40 PROBLEM3-100 PROBLEM4-20 PROBLEM4-40 PROBLEM4-100 START END 
0 69 29 0 0 0 0 0 0 0 0 0 0 20
0 0 3 0 0 0 0 0 0 0 0 0 0 56
0 0 0 0 0 0 0 0 0 0 0 0 0 29
0 0 0 0 9 11 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 6 5 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 6 3 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 3
105 0 0 25 0 0 16 0 0 11 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
