Grupo;DAG;Q1;Q2;Q3;Q4;ST;DAG_1;DAG_2;DAG_3;DAG_4;DAG_5;DAG_6;DAG_7;DAG_8;DAG_9;ST_1;ST_2;ST_3;ST_4;ST_5;ST_6;ST_7;ST_8;ST_9
DBA1516P2GA;2.41315;1.3174;1.33939;2.56923;2.41315;3.58586e+12;0.857431;1.56119;1.56119;2.39282;2.42947;2.42697;2.41573;2.41208;-1;1;108;108;2.10691e+11;2.22396e+11;2.44636e+11;4.91456e+11;5.46062e+11;-1
DBA1516P2GB;1.65688;1.3174;1.91816;1.67667;1.65688;3.6288e+06;1.28316;0.901331;0.965793;1.06396;1.20951;1.53559;1.50115;1.54955;-1;1;32;64;64;64;4352;6528;6528;-1
DBA1516P2GC;0.781188;0.921125;0.793384;0.781188;0.781188;2.08183e+19;0.498841;1.71875;1.90479;2.07129;2.16775;2.23061;2.30597;2.36572;0.766938;1;3;3;3;4;8;8;8;2.28039e+18
DBA1516P2GD;1.85427;0.521006;2.71453;1.6694;1.85427;1.40142e+10;0.655795;1.70532;1.70532;1.70532;2.8344;3.17824;3.05777;3.07549;-1;1;5;5;5;5;5;20;60;-1
DBA1516P2GE;1.33426;0.804048;1.83642;1.791;1.33426;1.20622e+20;0.60231;1.00774;1.00774;1.00774;1.33902;1.33902;1.33902;1.33902;1.56358;1;473;473;473;473;473;1892;3784;5.37742e+14
DBA1516P2GF;1.61303;0.996593;1.37051;1.38691;1.61303;4.13016e+15;0.642824;1.64721;2.15877;2.11383;2.36995;2.36995;2.91402;1.92319;-1;1;6;18;32;384;384;384;1.3325e+09;-1
DBA1516P2GG;1.3553;0.996593;1.85142;1.2311;1.3553;9.21164e+11;1.47638;1.84397;2.25256;2.51549;2.69493;2.87555;3.11498;2.63388;1.24856;1;4;4;4;4;4;4;36;6.53184e+10
DBA1516P2GH;1.06172;1.11389;1.16119;1.11637;1.06172;1.9167e+17;0.606495;1.33127;1.28156;1.31739;1.31739;1.31739;1.31739;1.21647;1.04317;1;4455;16038;21384;42768;42768;42768;1.07558e+11;5.06352e+14
DBA1516P2GI;1.1549;1.01489;0.850453;1.03904;1.1549;1.39828e+17;0.673195;0.728083;0.720292;0.859428;0.859428;1.03904;1.20375;1.16161;-1;2;2688;17920;465120;697680;7.09171e+08;8.89301e+11;1.03371e+15;-1
DBA1617P2GA;0.960091;0.982931;0.960091;0.938852;0.960091;1.13072e+13;0.978511;1.60664;1.44847;1.16056;1.12773;1.01863;1.01863;0.996845;0.969672;1;7;54;6.9673e+06;2.47726e+07;5.78028e+07;1.15606e+08;1.36858e+10;2.26144e+12
