Grupo;DAG;Q1;Q2;Q3;Q4;ST;DAG_1;DAG_2;DAG_3;DAG_4;DAG_5;DAG_6;DAG_7;DAG_8;DAG_9;ST_1;ST_2;ST_3;ST_4;ST_5;ST_6;ST_7;ST_8;ST_9
DBA1516P2GA;1.93052;1.05392;1.07151;2.05539;1.93052;3.58586e+12;0.685944;1.24895;1.24895;1.91425;1.94358;1.94158;1.93259;1.92966;-1;1;108;108;2.10691e+11;2.22396e+11;2.44636e+11;4.91456e+11;5.46062e+11;-1
DBA1516P2GB;1.3255;1.05392;1.53453;1.34134;1.3255;3.6288e+06;1.02653;0.721064;0.772635;0.851165;0.967611;1.22847;1.20092;1.23964;-1;1;32;64;64;64;4352;6528;6528;-1
DBA1516P2GC;0.624951;0.7369;0.634708;0.624951;0.624951;2.08183e+19;0.399073;1.375;1.52383;1.65703;1.7342;1.78449;1.84477;1.89258;0.61355;1;3;3;3;4;8;8;8;2.28039e+18
DBA1516P2GD;1.48341;0.416805;2.17162;1.33552;1.48341;1.40142e+10;0.524636;1.36426;1.36426;1.36426;2.26752;2.54259;2.44622;2.46039;-1;1;5;5;5;5;5;20;60;-1
DBA1516P2GE;1.06741;0.643238;1.46913;1.4328;1.06741;1.20622e+20;0.481848;0.806191;0.806191;0.806191;1.07122;1.07122;1.07122;1.07122;1.25086;1;473;473;473;473;473;1892;3784;5.37742e+14
DBA1516P2GF;1.29043;0.797274;1.0964;1.10953;1.29043;4.13016e+15;0.514259;1.31777;1.72702;1.69106;1.89596;1.89596;2.33122;1.53855;-1;1;6;18;32;384;384;384;1.3325e+09;-1
DBA1516P2GG;1.08424;0.797274;1.48114;0.98488;1.08424;9.21164e+11;1.18111;1.47517;1.80205;2.01239;2.15595;2.30044;2.49198;2.1071;0.998849;1;4;4;4;4;4;4;36;6.53184e+10
DBA1516P2GH;0.849377;0.891111;0.928956;0.893097;0.849377;1.9167e+17;0.485196;1.06502;1.02525;1.05391;1.05391;1.05391;1.05391;0.973179;0.834534;1;4455;16038;21384;42768;42768;42768;1.07558e+11;5.06352e+14
DBA1516P2GI;0.923919;0.811912;0.680363;0.831233;0.923919;1.39828e+17;0.538556;0.582466;0.576234;0.687542;0.687542;0.831233;0.962998;0.929291;-1;2;2688;17920;465120;697680;7.09171e+08;8.89301e+11;1.03371e+15;-1
DBA1617P2GA;0.768073;0.786345;0.768073;0.751082;0.768073;1.13072e+13;0.782809;1.28531;1.15878;0.928448;0.902186;0.814905;0.814905;0.797476;0.775738;1;7;54;6.9673e+06;2.47726e+07;5.78028e+07;1.15606e+08;1.36858e+10;2.26144e+12
