Group	uGroup	Grade	XQGRade	CNProblems	QGrade	Year	DAG	N,Sessions	N,Sessions,Before	N,Sessions,After	N,Sessions,Solve	Days,AcademicPeriod	Mins,AcademicPeriod	Mins,GroupPeriod	Newcomer	Mins,Starter	Mins,ReactionTime	Mins,EarlyBird	Mins,ClosingTime	Mins,Sessions	Mins,Sessions,Before	Mins,Sessions,After	LARVA	N,ProblemsSolved	PATH	Mins,Day	W Problems Solved	Size	RWSP	MAN	MAN01	SIM	MDN	Degree1	Degree2	Degree3	Degree4	Degree5	Degree6	Degree7	Degree8	Degree9	FDegree1	FDegree2	FDegree3	FDegree4	FDegree5	FDegree6	FDegree7	FDegree8	FDegree9	LAP1	LAP2	LAP3	LAP4	LAP5	LAP6	LAP7	LAP8	LAP9	LAP10	FLAP1	FLAP2	FLAP3	FLAP4	FLAP5	FLAP6	FLAP7	FLAP8	FLAP9	KM	
DBA 1516 P2 GA	DBA_1516_P2_GA_	8,800	2	83	Q2	Y2015	1,931	792	519	273	120	32,801	47233,333	0,975	0,753	0,000	0,160	0,906	0,939	0,002	0,001	0,001	NO	8	P1 P5 P6 P2 P3 P4 P7 P8	2,403	0,928	1	0,072	10,392	2,828	0,775	2,002	4	12	14	60	62	64	68	70	78	4	14	14	64	64	64	64	64	70	1	1	1	6912	6912	6912	10368	10368	43008	43008	1	2	2	27000	27000	27000	27000	27000	64800	3	1
DBA 1516 P2 GB	DBA_1516_P2_GB	8,800	2	83	Q3	Y2015	1,326	111	51	60	50	32,801	47233,333	0,422	0,782	16,914	0,051	0,823	0,906	0,001	0,001	0,000	NO	8	P1 P2 P3 P4 P5 P6 P7 P8	1,167	0,879	1	0,121	11,136	2,828	0,793	1,784	4	8	14	16	18	28	32	36	46	4	8	14	14	14	24	26	30	32	1	1	2	2	2	8	16	16	256	256	1	1	2	2	2	16	16	16	16	2	3
DBA 1516 P2 GC	DBA_1516_P2_GC	10,000	4	93	Q4	Y2015	0,625	337	89	248	195	32,801	47233,333	0,435	0,392	12,759	0,045	0,440	0,797	0,004	0,000	0,004	NO	9	P1 P4 P5 P6 P2 P3 P7 P8 P9	6,333	0,476	1	0,524	8,718	3,000	0,910	0,525	4	8	10	12	14	18	20	22	90	4	8	8	8	8	12	12	12	56	1	1	1	1	1	1	1	1	1105920	1935360	1	1	1	1	1	1	1	1	2048	3	1
DBA 1516 P2 GD	DBA_1516_P2_GD	8,800	2	83	Q3	Y2015	1,483	378	251	127	80	32,801	47233,333	0,590	0,744	12,782	0,051	0,793	0,798	0,003	0,001	0,002	NO	8	P1 P2 P4 P5 P6 P8 P3 P7	4,058	0,835	1	0,165	8,718	2,828	0,795	1,897	4	8	12	14	16	20	28	30	50	4	8	12	12	12	16	24	24	46	1	1	1	1	1	1	4	4	432	432	1	1	1	1	1	1	4	4	216	2	3
DBA 1516 P2 GE	DBA_1516_P2_GE	8,800	2	94	Q3	Y2015	1,067	736	180	556	147	32,801	47233,333	0,623	0,634	11,609	0,062	0,700	0,966	0,004	0,001	0,004	NO	9	P1 P2 P3 P4 P5 P6 P7 P8 P9	6,426	0,731	1	0,269	10,050	3,000	0,919	1,256	4	10	12	14	16	18	24	32	98	4	10	10	10	10	10	16	22	86	1	2	2	2	2	2	2	8	1474560	9953280000000	1	2	2	2	2	2	2	4	691200	3	2
DBA 1516 P2 GF	DBA_1516_P2_GF	9,200	3	83	Q3	Y2015	1,290	356	149	207	110	32,801	47233,333	0,580	0,630	13,021	0,053	0,683	0,819	0,003	0,000	0,002	NO	8	P1 P2 P4 P3 P5 P6 P8 P7	4,025	0,755	1	0,245	6,856	2,828	0,726	1,458	4	14	16	20	26	28	32	60	86	4	14	16	20	20	20	24	46	60	1	2	2	2	8	8	8	5832	972000	972000	1	2	2	3	3	3	3	384	3840	3	1
DBA 1516 P2 GG	DBA_1516_P2_GG	8,200	1	94	Q1	Y2015	1,084	462	289	173	68	32,801	47233,333	0,739	0,612	7,730	0,075	0,691	0,911	0,003	0,001	0,002	NO	9	P1 P2 P3 P4 P5 P6 P8 P7 P9	5,016	0,714	1	0,286	9,220	3,000	0,925	0,590	4	8	10	12	14	16	20	28	66	4	10	10	10	10	10	14	24	50	1	1	1	1	1	1	1	4	3240	9072	1	2	2	2	2	2	2	16	1024	2	1
DBA 1516 P2 GH	DBA_1516_P2_GH	9,600	4	94	Q3	Y2015	0,849	706	426	280	215	32,801	47233,333	0,764	0,300	4,654	0,078	0,380	0,725	0,004	0,001	0,003	NO	9	P1 P2 P3 P4 P5 P6 P8 P7 P9	5,681	0,422	1	0,578	8,944	3,000	0,947	1,043	4	18	20	22	24	26	30	62	98	4	20	20	20	20	20	24	50	64	1	4	4	4	4	4	4	2880	1105920	3317760	1	6	6	6	6	6	6	480	7200	3	1
DBA 1516 P2 GI	DBA_1516_P2_GI	9,120	3	83	Q3	Y2015	0,924	611	193	418	155	32,801	47233,333	0,822	0,497	5,802	0,355	0,808	0,970	0,004	0,001	0,003	NO	8	P1 P2 P3 P4 P5 P6 P8 P9	5,983	0,914	0	0,086	10,198	2,828	0,854	0,732	6	20	22	30	34	50	64	72	84	6	22	22	28	30	42	50	66	74	1	6	6	48	96	864	12288	49152	409600	409600	1	12	12	16	16	60	160	7680	46080	3	1
DBA 1617 P2 GA	DBA_1617_P2_GA	10,000	4	94	Q4	Y2016	0,768	191	107	84	74	23,531	33883,950	0,542	0,576	9,864	0,075	0,663	0,767	0,001	0,000	0,000	NO	9	P1 P3 P5 P2 P4 P7 P8 P6 P9	0,943	0,682	0	0,318	10,296	3,000	0,944	0,948	4	10	20	42	44	48	50	58	66	4	12	20	38	38	40	40	42	46	1	1	2	96	96	128	128	1024	4608	13824	1	2	3	32	32	32	32	40	40	2	1
DBA 1617 P2 GB	DBA_1617_P2_GB	9,440	3	94	Q3	Y2016	1,123	742	144	598	182	23,531	33883,950	0,658	0,435	7,488	0,177	0,621	0,896	0,011	0,002	0,009	NO	9	P1 P3 P4 P5 P7 P2 P6 P8 P9	16,161	0,671	1	0,329	7,810	3,000	0,933	1,257	4	14	20	22	26	64	68	72	128	4	16	24	24	28	56	56	58	112	1	4	4	4	4	7680	9600	14400	6220800000000	48384000000000	1	6	12	12	12	2592	2592	2592	276480000000	1	2
DBA 1617 P2 GD	DBA_1617_P2_GD	8,790	2	94	Q1	Y2016	0,854	362	69	293	215	23,531	33883,950	0,343	0,660	14,326	0,005	0,678	0,687	0,004	0,000	0,004	NO	9	P1 P2 P3 P4 P5 P7 P8 P6 P9	6,425	0,683	1	0,317	8,832	3,000	0,946	0,804	4	12	16	18	20	26	28	30	34	4	14	14	14	14	22	22	22	26	1	1	2	2	2	4	4	4	4	233280000000	1	2	2	2	2	12	12	12	12	2	2
DBA 1617 P2 GE	DBA_1617_P2_GE	9,350	3	93	Q3	Y2016	1,134	574	97	477	352	23,531	33883,950	0,987	0,518	0,000	0,032	0,560	0,666	0,003	0,000	0,003	NO	9	P1 P2 P3 P4 P5 P6 P8 P9 P7	3,838	0,614	1	0,386	11,358	3,000	0,960	1,652	4	18	20	22	24	26	30	34	72	4	22	22	22	22	22	26	30	58	1	4	4	4	4	4	4	4	19440	2449440	1	16	16	16	16	16	16	16	4608	3	1
DBA 1617 P2 GF	DBA_1617_P2_GF	8,860	2	94	Q2	Y2016	1,067	173	77	96	50	23,531	33883,950	0,377	0,699	13,634	0,033	0,745	0,880	0,001	0,000	0,001	NO	9	P1 P2 P5 P3 P4 P6 P7 P8 P9	1,295	0,779	1	0,221	12,961	3,000	0,964	1,326	6	10	24	28	32	36	38	40	46	6	8	22	28	28	28	28	28	34	1	2	12	12	18	36	36	36	72	384	1	1	8	16	16	16	16	16	24	2	3
DBA 1617 P2 GG	DBA_1617_P2_GG	9,230	3	94	Q2	Y2016	1,138	867	244	623	213	23,531	33883,950	0,319	0,744	15,180	0,081	0,839	0,943	0,006	0,001	0,005	NO	9	P1 P2 P3 P4 P5 P6 P7 P8 P9	8,335	0,862	1	0,138	8,246	3,000	0,963	1,206	4	24	28	30	32	34	36	50	112	4	22	22	22	22	22	22	30	64	1	4	6	6	6	6	6	192	3870720000000	3870720000000	1	4	4	4	4	4	4	24	4608	1	2
