Year,Problem,Session
Y2015,P1,4631
Y2015,P2,2203
Y2015,P3,1002
Y2015,P4,601
Y2015,P5,406
Y2015,P6,393
Y2015,P7,881
Y2015,P8,594
Y2015,P9,1377
Y2016,P1,4760
Y2016,P2,2671
Y2016,P3,788
Y2016,P4,781
Y2016,P5,610
Y2016,P6,992
Y2016,P7,646
Y2016,P8,573
Y2016,P9,704
Y2017,P1,3816
Y2017,P2,1746
Y2017,P3,407
Y2017,P4,273
Y2017,P5,238
Y2017,P6,931
Y2017,P7,220
Y2017,P8,601
Y2017,P9,856
Y2018,P1,3077
Y2018,P2,1001
Y2018,P3,224
Y2018,P4,141
Y2018,P5,171
Y2018,P6,367
Y2018,P7,258
Y2018,P8,130
Y2018,P9,336
Y2019,P1,3012
Y2019,P2,893
Y2019,P3,1406
Y2019,P4,1017
Y2019,P5,1437
Y2019,P6,1681
Y2019,P7,1612
Y2019,P8,1454
Y2019,P9,1963
Y2020,P1,8202
Y2020,P2,1840
Y2020,P3,1747
Y2020,P4,539
Y2020,P5,2759
Y2020,P6,608
Y2020,P7,2163
Y2020,P8,1126
Y2020,P9,2204
Y2021,P1,3070
Y2021,P2,1462
Y2021,P3,1279
Y2021,P4,376
Y2021,P5,542
Y2021,P6,846
Y2021,P7,1671
Y2021,P8,2324
Y2021,P9,391
