Group,Team,Size,Year,Grade
G1,DBA 1819 P3 GL,4,1819,"10,00"
G2,DBA 1920 P3 GJ,4,1920,"4,01"
G3,DBA 1819 P2 GH,4,1819,"7,96"
G4,DBA 1920 P2 GE,4,1920,"8,95"
G5,DBA 1920 P3 GK,4,1920,"4,51"
G6,DBA 1415 P3 G6,6,1415,"7,20"
G7,DBA 1819 P2 GB,4,1819,"8,23"
G8,DBA 1920 P3 GB,4,1920,"5,45"
G9,DBA 1617 P2 G6,5,1617,"8,86"
G10,DBA 1718 P2 GH,5,1718,"6,46"
G11,DBA 1617 P2 G2,5,1617,"9,44"
G12,DBA 1819 P2 GK,4,1819,"9,64"
G13,DBA 1617 P3 G9,4,1617,"10,00"
G14,DBA 1516 P3 G3,6,1516,"9,60"
G15,DBA 1415 P3 G3,5,1415,"8,10"
G16,DBA 1819 P2 GJ,4,1819,"8,14"
G17,DBA 1617 P2 G9,5,1617,"10,00"
G18,DBA 1920 P2 GB,4,1920,"8,22"
G19,DBA 1415 P2 G4,5,1415,"8,10"
G20,DBA 1415 P3 G9,6,1415,"6,60"
G21,DBA 1516 P3 G4,6,1516,"4,40"
G22,DBA 1415 P2 G3,5,1415,"10,00"
G23,DBA 1516 P3 G1,5,1516,"8,60"
G24,DBA 1314 P3 G1,6,1314,"10,00"
G25,DBA 1819 P2 GI,4,1819,"7,40"
G26,DBA 1415 P2 G1,5,1415,"9,00"
G27,DBA 1920 P2 GF,4,1920,"8,94"
G28,DBA 1617 P2 G8,6,1617,"9,75"
G29,DBA 1516 P3 G9,3,1516,"10,00"
G30,DBA 1415 P2 G6,6,1415,"9,00"
G31,DBA 1718 P3 GH,5,1718,"4,22"
G32,DBA 1516 P2 G3,6,1516,"10,00"
G33,DBA 1617 P2 G4,6,1617,"8,79"
G34,DBA 1617 P3 G2,5,1617,"10,00"
G35,DBA 1617 P3 G1,4,1617,"10,00"
G36,DBA 1819 P2 GD,4,1819,"9,73"
G37,DBA 1718 P2 GA,5,1718,"7,40"
