"group","year","size","mean_grade","date","map","action"
"Achernar",1617,5,10,"09/11/2016 21:23:22",1,1
"Achernar",1617,5,10,"09/11/2016 21:25:11",1,1
"Achernar",1617,5,10,"10/11/2016 0:21:37",1,1
"Achernar",1617,5,10,"10/11/2016 0:22:50",1,1
"Achernar",1617,5,10,"10/11/2016 0:23:12",1,1
"Achernar",1617,5,10,"10/11/2016 0:25:53",1,1
"Achernar",1617,5,10,"10/11/2016 0:26:16",1,1
"Achernar",1617,5,10,"10/11/2016 0:27:59",1,1
"Achernar",1617,5,10,"10/11/2016 0:28:23",1,1
"Achernar",1617,5,10,"10/11/2016 0:29:59",1,1
"Achernar",1617,5,10,"10/11/2016 0:31:13",1,1
"Achernar",1617,5,10,"12/11/2016 15:16:28",1,1
"Achernar",1617,5,10,"12/11/2016 15:17:34",1,1
"Achernar",1617,5,10,"12/11/2016 15:17:45",1,1
"Achernar",1617,5,10,"12/11/2016 15:34:38",1,1
"Achernar",1617,5,10,"13/11/2016 18:52:00",1,1
"Achernar",1617,5,10,"13/11/2016 18:56:19",1,1
"Achernar",1617,5,10,"13/11/2016 18:57:12",1,1
"Achernar",1617,5,10,"13/11/2016 19:08:01",1,1
"Achernar",1617,5,10,"13/11/2016 19:08:01",1,2
"Achernar",1617,5,10,"13/11/2016 19:12:04",1,1
"Achernar",1617,5,10,"13/11/2016 19:12:05",1,2
"Achernar",1617,5,10,"13/11/2016 19:15:48",1,1
"Achernar",1617,5,10,"13/11/2016 19:15:48",1,2
"Achernar",1617,5,10,"13/11/2016 19:18:12",1,1
"Achernar",1617,5,10,"13/11/2016 19:18:12",1,2
"Achernar",1617,5,10,"13/11/2016 19:20:42",1,1
"Achernar",1617,5,10,"13/11/2016 19:20:43",1,2
"Achernar",1617,5,10,"13/11/2016 19:30:47",1,1
"Achernar",1617,5,10,"13/11/2016 19:30:47",1,2
"Achernar",1617,5,10,"13/11/2016 19:33:07",1,1
"Achernar",1617,5,10,"13/11/2016 19:33:07",1,2
"Achernar",1617,5,10,"13/11/2016 19:37:09",1,1
"Achernar",1617,5,10,"13/11/2016 19:37:10",1,2
"Achernar",1617,5,10,"13/11/2016 19:37:14",1,4
"Achernar",1617,5,10,"13/11/2016 19:37:15",1,5
"Achernar",1617,5,10,"13/11/2016 19:37:16",1,3
"Achernar",1617,5,10,"13/11/2016 19:39:37",1,1
"Achernar",1617,5,10,"13/11/2016 19:39:37",1,2
"Achernar",1617,5,10,"13/11/2016 19:39:42",1,4
"Achernar",1617,5,10,"13/11/2016 19:39:43",1,5
"Achernar",1617,5,10,"13/11/2016 19:39:44",1,3
"Achernar",1617,5,10,"13/11/2016 19:41:39",1,1
"Achernar",1617,5,10,"13/11/2016 19:41:39",1,2
"Achernar",1617,5,10,"13/11/2016 19:42:45",1,1
"Achernar",1617,5,10,"13/11/2016 19:42:45",1,2
"Achernar",1617,5,10,"13/11/2016 19:42:49",1,4
"Achernar",1617,5,10,"13/11/2016 19:42:51",1,3
"Achernar",1617,5,10,"13/11/2016 19:42:51",1,5
"Achernar",1617,5,10,"13/11/2016 20:02:56",1,1
"Achernar",1617,5,10,"13/11/2016 20:02:56",1,2
"Achernar",1617,5,10,"13/11/2016 20:04:32",1,1
"Achernar",1617,5,10,"13/11/2016 20:04:32",1,2
"Achernar",1617,5,10,"13/11/2016 20:07:16",1,1
"Achernar",1617,5,10,"13/11/2016 20:07:16",1,2
"Achernar",1617,5,10,"13/11/2016 20:18:52",1,1
"Achernar",1617,5,10,"13/11/2016 20:18:52",1,2
"Achernar",1617,5,10,"13/11/2016 20:34:19",1,1
"Achernar",1617,5,10,"13/11/2016 20:36:40",1,1
"Achernar",1617,5,10,"13/11/2016 20:36:40",1,2
"Achernar",1617,5,10,"13/11/2016 20:40:46",1,1
"Achernar",1617,5,10,"13/11/2016 20:40:46",1,2
"Achernar",1617,5,10,"13/11/2016 20:42:16",1,1
"Achernar",1617,5,10,"13/11/2016 20:42:16",1,2
"Achernar",1617,5,10,"13/11/2016 20:45:08",1,1
"Achernar",1617,5,10,"13/11/2016 20:45:08",1,2
"Achernar",1617,5,10,"13/11/2016 21:09:03",1,1
"Achernar",1617,5,10,"13/11/2016 21:09:03",1,2
"Achernar",1617,5,10,"13/11/2016 21:09:07",1,4
"Achernar",1617,5,10,"13/11/2016 21:09:08",1,5
"Achernar",1617,5,10,"13/11/2016 21:10:34",2,1
"Achernar",1617,5,10,"13/11/2016 21:10:35",2,2
"Achernar",1617,5,10,"13/11/2016 21:10:39",2,4
"Achernar",1617,5,10,"13/11/2016 21:10:40",2,3
"Achernar",1617,5,10,"13/11/2016 21:11:55",1,1
"Achernar",1617,5,10,"13/11/2016 21:11:55",1,2
"Achernar",1617,5,10,"13/11/2016 21:11:59",1,4
"Achernar",1617,5,10,"13/11/2016 21:12:01",1,5
"Achernar",1617,5,10,"13/11/2016 21:16:47",1,1
"Achernar",1617,5,10,"13/11/2016 21:16:47",1,2
"Achernar",1617,5,10,"13/11/2016 21:16:51",1,4
"Achernar",1617,5,10,"13/11/2016 21:16:52",1,5
"Achernar",1617,5,10,"13/11/2016 21:17:59",1,1
"Achernar",1617,5,10,"13/11/2016 21:18:00",1,2
"Achernar",1617,5,10,"13/11/2016 21:18:04",1,4
"Achernar",1617,5,10,"13/11/2016 21:18:05",1,5
