"group","year","size","mean_grade","date","map","action"
"Achernar",1516,5,8.2,"17/10/2015 19:41:45",0,0
"Achernar",1516,5,8.2,"22/10/2015 17:29:21",1,1
"Achernar",1516,5,8.2,"22/10/2015 17:29:22",1,2
"Achernar",1516,5,8.2,"22/10/2015 17:29:39",1,3
"Achernar",1516,5,8.2,"22/10/2015 17:34:09",1,1
"Achernar",1516,5,8.2,"22/10/2015 17:34:10",1,2
"Achernar",1516,5,8.2,"22/10/2015 17:34:40",1,3
"Achernar",1516,5,8.2,"28/10/2015 14:08:56",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:13:41",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:17:25",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:24:55",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:25:22",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:26:28",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:39:44",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:40:26",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:43:27",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:45:06",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:48:28",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:48:36",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:50:53",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:51:23",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:51:45",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:55:07",1,1
"Achernar",1516,5,8.2,"02/11/2015 16:56:29",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:00:58",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:03:00",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:03:47",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:04:31",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:05:17",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:06:45",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:07:12",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:08:11",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:09:42",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:10:13",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:10:44",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:44:52",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:45:34",1,1
"Achernar",1516,5,8.2,"02/11/2015 17:46:37",1,1
"Achernar",1516,5,8.2,"02/11/2015 18:01:26",1,1
"Achernar",1516,5,8.2,"02/11/2015 18:02:20",1,1
"Achernar",1516,5,8.2,"02/11/2015 18:03:48",1,1
"Achernar",1516,5,8.2,"02/11/2015 18:05:31",1,1
"Achernar",1516,5,8.2,"04/11/2015 12:52:12",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:10:01",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:10:59",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:14:44",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:14:57",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:16:07",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:25:54",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:28:40",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:30:39",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:32:33",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:34:26",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:35:27",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:38:25",1,1
"Achernar",1516,5,8.2,"04/11/2015 13:40:52",1,1
"Achernar",1516,5,8.2,"05/11/2015 23:57:24",1,1
"Achernar",1516,5,8.2,"08/11/2015 15:42:27",1,1
"Achernar",1516,5,8.2,"08/11/2015 16:54:18",1,1
"Achernar",1516,5,8.2,"08/11/2015 16:54:21",1,1
"Achernar",1516,5,8.2,"08/11/2015 16:55:56",1,1
"Achernar",1516,5,8.2,"08/11/2015 16:59:13",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:00:43",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:03:36",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:04:41",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:15:36",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:17:04",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:18:46",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:24:26",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:25:16",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:25:36",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:33:02",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:36:07",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:36:36",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:36:49",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:37:21",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:38:42",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:40:53",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:42:15",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:42:20",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:42:54",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:43:16",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:43:26",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:44:02",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:45:00",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:45:20",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:45:29",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:46:09",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:46:57",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:48:04",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:48:15",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:49:56",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:50:51",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:51:24",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:52:44",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:53:28",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:56:58",1,1
"Achernar",1516,5,8.2,"08/11/2015 17:59:08",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:15:05",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:15:49",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:16:14",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:17:25",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:18:51",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:22:56",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:25:10",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:26:03",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:28:29",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:29:34",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:30:57",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:33:40",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:34:52",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:38:25",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:38:47",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:39:32",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:40:27",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:41:08",1,1
"Achernar",1516,5,8.2,"08/11/2015 18:42:03",1,1
