"group","year","size","mean_grade","date","map","action"
"Girtab",1617,6,4.67,"15/11/2016 7:31:31",1,1
"Girtab",1617,6,4.67,"15/11/2016 7:31:53",1,1
"Girtab",1617,6,4.67,"15/11/2016 12:50:03",1,1
"Girtab",1617,6,4.67,"15/11/2016 12:50:28",1,1
"Girtab",1617,6,4.67,"15/11/2016 13:27:27",1,1
"Girtab",1617,6,4.67,"15/11/2016 13:27:58",1,1
"Girtab",1617,6,4.67,"15/11/2016 16:52:28",1,1
"Girtab",1617,6,4.67,"15/11/2016 16:55:19",1,1
"Girtab",1617,6,4.67,"15/11/2016 17:03:48",1,1
"Girtab",1617,6,4.67,"15/11/2016 17:05:56",1,1
"Girtab",1617,6,4.67,"15/11/2016 17:08:20",1,1
"Girtab",1617,6,4.67,"15/11/2016 17:10:02",1,1
"Girtab",1617,6,4.67,"15/11/2016 17:13:21",1,1
"Girtab",1617,6,4.67,"15/11/2016 17:15:12",1,1
"Girtab",1617,6,4.67,"15/11/2016 17:17:00",1,1
"Girtab",1617,6,4.67,"15/11/2016 17:43:56",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:17:22",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:17:38",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:22:22",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:24:45",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:28:42",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:36:00",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:37:26",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:38:13",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:40:48",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:40:59",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:41:42",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:44:20",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:44:36",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:44:47",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:44:49",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:46:44",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:50:28",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:50:41",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:51:08",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:51:46",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:52:39",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:53:14",1,1
"Girtab",1617,6,4.67,"15/11/2016 19:53:47",1,1
