"group","year","size","mean_grade","date","map","action"
"Bellatrix",1617,5,9.72,"07/11/2016 11:13:31",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 11:36:59",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 11:41:07",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 11:42:22",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 11:45:37",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 11:49:23",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 11:51:13",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 11:52:47",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 11:56:11",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 11:59:03",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:02:29",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:09:35",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:10:57",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:17:46",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:20:25",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:21:25",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:26:53",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:31:07",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:33:51",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:34:38",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:36:27",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:37:35",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 12:38:08",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:04:29",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:15:07",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:17:18",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:18:05",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:22:52",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:26:40",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:29:48",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:31:18",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:34:17",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:39:54",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:41:50",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:42:45",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:44:35",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:46:37",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:49:57",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:53:52",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 20:59:27",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 21:03:35",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 21:05:03",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 21:12:54",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 21:14:21",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 21:16:00",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 21:17:02",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 21:19:23",1,1
"Bellatrix",1617,5,9.72,"07/11/2016 21:22:10",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:03:36",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:04:45",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:05:57",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:07:42",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:08:10",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:10:06",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:10:25",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:12:02",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:12:32",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:12:42",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:13:15",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:14:19",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:16:07",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:16:43",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:16:58",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:18:27",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:23:34",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:24:09",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:27:57",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:30:25",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:33:13",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:33:53",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:36:40",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:37:13",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:38:33",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:42:44",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:42:44",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 17:45:06",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:48:03",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:48:10",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 17:59:02",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 17:59:03",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 17:59:07",1,4
"Bellatrix",1617,5,9.72,"09/11/2016 17:59:08",1,3
"Bellatrix",1617,5,9.72,"09/11/2016 17:59:08",1,5
"Bellatrix",1617,5,9.72,"09/11/2016 18:00:22",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 18:00:28",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:31:28",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:31:28",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:31:33",1,4
"Bellatrix",1617,5,9.72,"09/11/2016 19:31:34",1,3
"Bellatrix",1617,5,9.72,"09/11/2016 19:31:34",1,5
"Bellatrix",1617,5,9.72,"09/11/2016 19:32:26",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:33:10",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:33:16",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:35:31",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:37:23",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:39:07",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:39:45",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:41:47",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:42:25",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:42:40",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:44:43",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:45:07",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:45:28",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:47:33",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:49:15",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:49:20",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:50:03",1,4
"Bellatrix",1617,5,9.72,"09/11/2016 19:50:03",1,5
"Bellatrix",1617,5,9.72,"09/11/2016 19:50:04",1,3
"Bellatrix",1617,5,9.72,"09/11/2016 19:52:16",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:52:19",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:53:01",1,4
"Bellatrix",1617,5,9.72,"09/11/2016 19:53:26",1,5
"Bellatrix",1617,5,9.72,"09/11/2016 19:56:07",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:56:44",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:57:04",1,4
"Bellatrix",1617,5,9.72,"09/11/2016 19:57:14",1,3
"Bellatrix",1617,5,9.72,"09/11/2016 19:57:14",1,5
"Bellatrix",1617,5,9.72,"09/11/2016 19:57:52",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:58:19",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 19:58:20",1,4
"Bellatrix",1617,5,9.72,"09/11/2016 19:59:28",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 19:59:39",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 20:03:07",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:03:13",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 20:03:49",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:03:53",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 20:04:27",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:04:31",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 20:05:33",1,4
"Bellatrix",1617,5,9.72,"09/11/2016 20:06:09",1,3
"Bellatrix",1617,5,9.72,"09/11/2016 20:12:12",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:12:16",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 20:12:43",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:12:46",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 20:13:20",1,4
"Bellatrix",1617,5,9.72,"09/11/2016 20:13:40",1,3
"Bellatrix",1617,5,9.72,"09/11/2016 20:31:29",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:33:08",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:35:49",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:35:53",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 20:36:32",1,4
"Bellatrix",1617,5,9.72,"09/11/2016 20:36:45",1,5
"Bellatrix",1617,5,9.72,"09/11/2016 20:39:34",2,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:40:44",2,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:42:32",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:42:42",2,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:45:15",2,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:45:20",2,2
"Bellatrix",1617,5,9.72,"09/11/2016 20:47:49",2,4
"Bellatrix",1617,5,9.72,"09/11/2016 20:48:33",2,3
"Bellatrix",1617,5,9.72,"10/11/2016 13:12:33",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 13:12:37",1,2
"Bellatrix",1617,5,9.72,"10/11/2016 13:14:29",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 13:17:14",1,2
